timeslot,reward,failures,epsilon,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-260.64984000000004,1001,0.0,37,14,454,995,0
1,-211.14816,3279,0.0,83,8,439,970,0
2,-102.9086,17761,0.0,252,12,424,812,0
3,-52.07695999999999,10203,0.0,325,3,424,748,0
4,-40.59140000000001,15352,0.0,380,10,409,701,0
5,-49.02364,24919,0.0,393,10,409,688,0
6,-55.41252000000001,12120,0.0,399,8,409,684,0
7,-42.41348000000001,3497,0.0,398,5,409,688,0
8,-69.59031999999999,643,0.0,405,12,394,689,0
9,-68.55856000000003,4929,0.0,441,6,394,659,0
10,-140.87356000000008,19495,0.0,596,13,394,497,0
11,-254.75852000000003,10508,0.0,623,25,394,458,0
12,-201.06168000000005,15097,0.0,645,21,409,425,0
13,-232.88200000000006,30603,0.0,608,15,424,453,0
14,-232.39875999999995,13516,0.0,574,30,424,472,0
15,-193.85256,4484,0.0,547,16,454,483,0
16,-298.46547999999996,736,0.0,535,25,454,486,0
17,-260.85676,3794,0.0,546,24,469,461,0
18,-235.28920000000002,22042,0.0,709,16,484,291,0
19,-195.69916000000003,11547,0.0,749,16,499,236,0
20,-188.1704000000001,16197,0.0,743,16,514,227,0
21,-205.69156,29644,0.0,725,24,514,237,0
22,-222.50979999999998,14869,0.0,709,21,529,241,0
23,-216.68051999999997,5259,0.0,682,20,544,254,0
24,-294.8548800000001,848,0.0,672,27,544,257,0
25,-254.04507999999996,3603,0.0,682,21,559,238,0
26,-248.28995999999992,21901,0.0,823,15,574,88,0
27,-167.91479999999999,10704,0.0,852,15,589,44,0
28,-231.0986,15352,0.0,865,28,589,18,0
29,-197.08732,29128,0.0,847,22,604,27,0
30,-181.77639999999997,14859,0.0,837,22,619,22,0
31,-206.19924000000003,6043,0.0,799,19,634,48,0
32,-282.0203600000001,1168,0.0,781,26,634,59,0
33,-260.7908000000001,3037,0.0,785,26,649,40,0
34,-233.3444800000001,16416,0.0,875,15,610,0,0
35,-227.40371999999994,14192,0.0,925,15,559,1,0
36,-218.52952000000002,17986,0.0,959,30,510,1,0
37,-181.55443999999991,26650,0.0,985,21,490,4,0
38,-186.83220000000003,13750,0.0,978,20,502,0,0
39,-177.93007999999998,7557,0.0,924,28,516,32,0
40,-235.42007999999998,2659,0.0,908,25,531,36,0
41,-259.31056,1135,0.0,908,17,546,29,0
42,-285.37612,7093,0.0,925,25,546,4,0
43,-277.72476,15750,0.0,980,30,490,0,0
44,-165.12488000000002,18437,0.0,1026,16,458,0,0
45,-207.40832,17045,0.0,1055,16,426,3,0
46,-202.57976,8734,0.0,1046,29,416,9,0
47,-217.33972000000006,6411,0.0,1027,27,431,15,0
48,-241.8118,2733,0.0,1005,23,446,26,0
49,-312.83668000000006,1147,0.0,1010,25,446,19,0
50,-257.10560000000004,5855,0.0,1021,20,459,0,0
51,-253.3021599999999,15230,0.0,1063,29,404,4,0
52,-223.21792000000008,18276,0.0,1121,24,353,2,0
53,-209.23412000000005,17920,0.0,1144,21,332,3,0
54,-202.10464000000007,9163,0.0,1137,18,337,8,0
55,-11809.516234285715,3650,0.0,1127,30,337,6,0
