timeslot,reward,failures,epsilon,demand,deployed_bikes,truck_load,depot_load,outside_system_bikes,traveling_bikes
0,-55.220119999999994,166,0.0,223,165,6,349,980,3
1,10.739959999999996,290,0.0,644,262,3,304,931,21
2,-15.803720000000002,477,0.0,3718,531,14,274,681,74
3,-79.41336,59,0.0,2934,597,25,304,574,62
4,-75.86868000000003,97,0.0,3599,563,17,349,571,71
5,-78.91076,313,0.0,5803,535,24,379,562,85
6,-30.299440000000008,342,0.0,3184,405,16,409,670,60
7,-36.7642,206,0.0,1064,351,15,409,725,21
8,-75.13956000000002,50,0.0,155,419,7,349,725,0
9,-3.941959999999997,231,0.0,849,461,17,319,703,26
10,-75.81963999999998,374,0.0,4795,782,18,349,351,90
11,-80.43404000000005,49,0.0,3197,885,23,379,213,77
12,-81.84076000000002,12,0.0,3785,894,29,409,168,107
13,-86.09608000000003,238,0.0,7107,728,28,439,305,92
14,-65.09411999999998,224,0.0,3756,498,21,484,497,63
15,-54.76628000000003,214,0.0,1270,476,28,499,497,16
16,-129.13108000000005,18,0.0,165,488,20,499,493,9
17,-82.37619999999998,120,0.0,829,480,25,529,466,15
18,-62.21808,310,0.0,5049,806,17,574,103,53
19,-79.12295999999999,26,0.0,3337,891,16,585,8,74
20,-90.23564000000003,43,0.0,4359,882,16,581,21,109
21,-43.35599999999999,101,0.0,6926,824,15,575,86,72
22,-59.39035999999999,145,0.0,3826,644,22,605,229,63
23,-112.68764000000002,154,0.0,1509,561,18,650,271,31
24,-276.99703999999997,39,0.0,197,549,22,665,264,7
25,-148.57383999999996,100,0.0,740,526,24,710,240,13
26,-78.19876000000001,191,0.0,4576,804,17,673,6,96
27,-54.34652,33,0.0,3280,915,15,562,8,71
28,-34.37308,48,0.0,3959,986,18,496,0,94
29,-27.918520000000008,58,0.0,6618,1058,17,415,10,123
30,-35.964000000000006,117,0.0,4001,870,25,415,190,60
31,-42.226640000000025,111,0.0,1696,745,27,430,298,41
32,-80.60560000000002,41,0.0,343,727,27,445,301,10
33,-59.68567999999997,46,0.0,665,715,26,460,299,14
34,-33.74724000000001,58,0.0,3765,877,17,475,131,47
35,-37.717600000000004,51,0.0,3359,969,15,490,26,65
36,-37.057040000000015,51,0.0,4339,1054,20,421,5,100
37,-32.62004,57,0.0,6287,1076,24,372,27,126
38,-43.11384000000001,15,0.0,3671,987,17,387,108,86
39,-39.90928000000002,32,0.0,2048,851,28,387,234,30
40,-50.89111999999998,37,0.0,770,822,16,402,260,8
41,-79.54504000000004,12,0.0,305,811,22,402,265,5
42,-51.13896000000001,102,0.0,1833,906,25,402,167,53
43,-40.56579999999999,68,0.0,3533,874,15,417,194,74
44,-36.54284,32,0.0,4054,841,18,417,224,73
45,-35.05484000000001,50,0.0,3742,821,26,417,236,76
46,-28.395240000000005,43,0.0,2553,861,28,417,194,41
47,-24.260080000000002,71,0.0,1704,812,29,417,242,34
48,-57.13455999999999,38,0.0,758,822,18,432,228,14
49,-101.25179999999986,28,0.0,255,795,21,447,237,6
50,-47.363440000000004,59,0.0,1267,836,24,447,193,40
51,-39.448919999999994,92,0.0,3366,890,16,462,132,75
52,-21.028080000000003,147,0.0,3986,906,20,462,112,74
53,-20.137800000000002,185,0.0,4105,942,23,462,73,74
54,-22.761440000000007,67,0.0,2449,898,25,462,115,46
55,-148.47432571428573,100,0.0,1084,840,17,477,166,15
