episode,total_reward,mean_daily_failures,total_failures,total_invalid_actions,epsilon
0,-10232.670942857143,967.8571428571429,6775,7762,0.0
1,-9544.110931428571,949.4285714285714,6646,7426,0.0
2,-7611.173468571428,840.5714285714286,5884,5733,0.0
3,-7419.56876,927.0,6489,5577,0.0
4,-6887.324925714285,950.7142857142857,6655,5077,0.0
5,-7945.3694457142865,1054.7142857142858,7383,6000,0.0
6,-6720.172954285715,1164.2857142857142,8150,4161,0.0
7,-5287.166731428571,950.4285714285714,6653,3553,0.0
8,-4870.283234285715,890.2857142857143,6232,3168,0.0
9,-6264.369194285715,1123.2857142857142,7863,3736,0.0
10,-3899.1051085714284,906.5714285714286,6346,2283,0.0
11,-12143.597097142858,771.1428571428571,5398,9693,0.0
12,-4477.586182857143,919.8571428571429,6439,2525,0.0
13,-5614.3001028571425,925.8571428571429,6481,3789,0.0
14,-3843.263228571428,849.5714285714286,5947,1672,0.0
15,-5248.01944,918.0,6426,3432,0.0
16,-2677.7111257142856,847.7142857142857,5934,1027,0.0
17,-3350.682874285714,776.2857142857143,5434,1342,0.0
18,-4605.441062857142,900.8571428571429,6306,2774,0.0
19,-2526.054142857143,895.8571428571429,6271,1006,0.0
20,-2253.477217142857,815.1428571428571,5706,696,0.0
21,-3092.065051428571,876.4285714285714,6135,1288,0.0
22,-3184.9301542857143,784.2857142857143,5490,1249,0.0
23,-12382.481262857144,864.8571428571429,6054,10874,0.0
24,-4505.9873828571435,917.8571428571429,6425,2835,0.0
25,-3149.9446342857145,817.2857142857143,5721,924,0.0
26,-2362.9306514285713,881.4285714285714,6170,880,0.0
27,-4530.83496,937.0,6559,2873,0.0
28,-2119.2062914285716,870.4285714285714,6093,622,0.0
29,-2519.6127142857144,951.2857142857143,6659,1103,0.0
30,-2261.465902857143,969.8571428571429,6789,819,0.0
31,-3021.665965714286,823.7142857142857,5766,1073,0.0
32,-3470.6419314285718,1033.4285714285713,7234,717,0.0
33,-2084.634674285714,883.2857142857143,6183,630,0.0
34,-12958.745422857142,886.8571428571429,6208,11674,0.0
35,-3722.5262457142862,868.7142857142857,6081,660,0.0
36,-4771.990377142856,948.1428571428571,6637,3228,0.0
37,-4551.621171428571,958.4285714285714,6709,3008,0.0
38,-3227.0734171428576,898.1428571428571,6287,1526,0.0
39,-3206.735708571429,896.5714285714286,6276,1241,0.0
40,-3240.8060057142857,945.7142857142857,6620,1532,0.0
41,-5491.821742857143,1085.857142857143,7601,4010,0.0
42,-3808.4162285714287,1033.5714285714287,7235,2169,0.0
43,-3530.3822914285715,1009.4285714285714,7066,1963,0.0
44,-3820.8065257142853,989.7142857142857,6928,896,0.0
45,-13649.158817142856,928.1428571428571,6497,12527,0.0
46,-2451.19732,1174.0,8218,1173,0.0
47,-13248.804354285714,922.2857142857143,6456,12063,0.0
48,-2934.8807485714287,921.5714285714286,6451,925,0.0
49,-4901.302177142857,1081.142857142857,7568,3297,0.0
50,-4711.006165714286,950.7142857142857,6655,3035,0.0
51,-3224.628451428572,826.4285714285714,5785,1406,0.0
52,-3397.717017142857,947.1428571428571,6630,1804,0.0
53,-2988.333822857143,977.8571428571429,6845,1728,0.0
54,-2239.956342857143,865.8571428571429,6061,856,0.0
55,-3841.0850000000005,887.0,6209,769,0.0
56,-2181.6798342857146,989.2857142857143,6925,712,0.0
57,-2924.972017142857,904.1428571428571,6329,1082,0.0
58,-3435.8047485714287,1006.5714285714286,7046,1666,0.0
59,-3365.592371428572,969.4285714285714,6786,1545,0.0
60,-13419.057085714287,900.7142857142857,6305,12306,0.0
61,-3190.1113085714287,927.5714285714286,6493,1271,0.0
62,-3223.2955028571428,948.8571428571429,6642,1599,0.0
63,-13637.674371428571,895.4285714285714,6268,12547,0.0
64,-2811.4700971428574,1076.142857142857,7533,1608,0.0
65,-3410.2397257142857,919.7142857142857,6438,1741,0.0
66,-13710.046194285715,881.2857142857143,6169,12588,0.0
67,-3428.0577485714284,900.5714285714286,6304,1777,0.0
68,-3944.2564685714283,800.5714285714286,5604,904,0.0
69,-2323.433954285714,1076.2857142857142,7534,1082,0.0
70,-4801.900811428572,1062.4285714285713,7437,3209,0.0
71,-3067.65824,919.0,6433,1214,0.0
72,-2338.25868,1146.0,8022,1010,0.0
73,-3381.6931600000007,1083.0,7581,1852,0.0
74,-3859.88448,1198.0,8386,2247,0.0
75,-2296.4286914285713,1244.4285714285713,8711,1110,0.0
76,-3115.023828571429,1107.5714285714287,7753,1515,0.0
77,-2951.1003257142856,986.7142857142857,6907,1210,0.0
78,-2371.3784057142857,1108.7142857142858,7761,1058,0.0
79,-4105.828777142857,1226.142857142857,8583,2767,0.0
80,-14509.425474285716,916.2857142857143,6414,13532,0.0
81,-3398.382445714286,1297.7142857142858,9084,2257,0.0
82,-3368.481742857143,1072.857142857143,7510,1970,0.0
83,-5909.011188571429,1293.5714285714287,9055,4433,0.0
84,-3845.8414914285713,1260.4285714285713,8823,2396,0.0
85,-3847.0605600000004,1175.0,8225,2393,0.0
86,-4147.328217142857,1091.142857142857,7638,1301,0.0
87,-3697.1525942857143,1159.2857142857142,8115,2180,0.0
88,-5188.197748571429,1061.5714285714287,7431,3713,0.0
89,-4855.377965714286,1000.7142857142857,7005,3293,0.0
90,-2881.3215314285712,1043.4285714285713,7304,1648,0.0
91,-4501.967725714286,937.7142857142857,6564,2882,0.0
92,-4416.537154285715,960.2857142857143,6722,2718,0.0
93,-2233.836817142857,902.1428571428571,6315,874,0.0
94,-13854.70984,841.0,5887,12835,0.0
95,-3426.684594285714,824.2857142857143,5770,1711,0.0
96,-3318.3024514285717,771.4285714285714,5400,1457,0.0
97,-3395.9114457142855,814.7142857142857,5703,1213,0.0
98,-3194.6853657142856,861.7142857142857,6032,1067,0.0
99,-3037.97708,870.0,6090,1266,0.0
100,-4971.597297142857,1030.142857142857,7211,3376,0.0
101,-3364.632965714286,824.7142857142857,5773,1527,0.0
102,-5077.361057142857,993.1428571428571,6952,3537,0.0
103,-3946.2017542857143,847.2857142857143,5931,919,0.0
104,-5118.585554285714,1081.2857142857142,7569,3626,0.0
105,-5338.539005714287,1122.7142857142858,7859,3772,0.0
106,-5059.631022857143,1074.857142857143,7524,3480,0.0
